variable,Total,Female,Male
age,0,0,0
hh_size,0,0,0
hh_children,98,63,35
lengthmar,1880,1403,477
bmi,285,167,118
height,136,87,49
weight,251,148,103
waistcircumference,141,100,41
adl_some6,0,0,0
iadl_some4,0,0,0
a1c_adj,0,0,0
sbp,0,0,0
dbp,0,0,0
tc_adj,0,0,0
hdl_adj,279,142,137
nfalls,71,34,37
fu_nfalls,48,25,23
agediagnosed_dm,110,63,47
moderate_pa,6,3,3
vigorous_pa,10,5,5
polypharmacy,0,0,0
medication_bp,0,0,0
medication_dm,0,0,0
rxdiabi,0,0,0
rxdiabo,0,0,0
rxstrok,0,0,0
rxangina,0,0,0
rxchf,0,0,0
rxarthr,1564,885,679
rxlung,0,0,0
rxpsych,1564,885,679
rxcancr,0,0,0
rxhrtat,0,0,0
rxheart,0,0,0
diagnosed_bp,0,0,0
htn,0,0,0
alzh_demen,0,0,0
bmi_underweight,285,167,118
bmi_overweight,285,167,118
bmi_obese,285,167,118
fall_any,12,7,5
fall_injury,2689,1427,1262
fracture_hip,11,4,7
fu_fall_any,0,0,0
fu_fall_injury,2667,1422,1245
fu_fracture_hip,1,0,1
heavydrinker,10,4,6
vision_impairment,18,7,11
balance_impairment,1181,750,431
married,0,0,0
age_category,0,0,0
bmi_category,285,167,118
education_h,0,0,0
hh_wealthquintile,777,747,30
smoke,0,0,0
laborforce,0,0,0
raceeth,2,0,2
race,3,0,3
ethnicity,0,0,0
